golden:
case COND_RESULT_UNSET: return COND_RESULT_UNSET; default: break;
inference:

#endif
return COND_RESULT_FALSE;
/* no ptr.no_ptrs!= NULL */ if (!ptr->comp)  if (ptr->conf.log_condition_handling)  TRACE("ptr[%d] is valid: %d", ptr->comp, ptr->comp);  return COND_RESULT_FALSE;
if (con->conf.context_ndx == 0)  config_check_cond_cached(srv, con, dc->parent);
/* skip for all dummy rules */ if (!dc->cond_cache[dc->context_ndx].result)  config_check_cond_cache(srv, con, dc->context_ndx); /* skip for dummy rules */ if (dc->dummy)  config_check_cond_cached(srv, con, dc->dummy) == COND_RESULT_FALSE)  return COND_RESULT_FALSE;
/* XXX */ config_check_cond_nocache(srv, con, dc->parent);
case COMP_OK:  /* check if dc->sockets are valid */ case COMP_OK: /* check if this isn't possible */ if (con->conf.log_condition_handling)  log_error_write(srv, __FILE__, __LINE__, "sb", "go parent", dc->parent->key);  if (config_check_cond_cached(srv, con, dc->parent) == COND_RESULT_FALSE)  return COND_RESULT_FALSE;   if (dc->prev)  if (con->conf.log_condition_handling)  log_error_write(srv, __FILE__, __LINE__, "sb", "go prev", dc->prev->key);  /* one of prev set me to FALSE */ if (COND_RESUL
/* one of the prev set me to FALSE */ if (COND_RESULT_FALSE == con->cond_cache[dc->context_ndx].result)  return COND_RESULT_FALSE;
case COND_RESULT_DEBUG_CACHE:
if (con->conf.verbose)  if (config_check_cond_cached(srv, con, dc->parent) == COND_RESULT_FALSE)  return COND_RESULT_FALSE;   if (dc->prev)  if (con->conf.log_condition_handling)  log_error_write(srv, __FILE__, __LINE__, "sb", "go prev", dc->prev->key);  /* make sure prev is checked first */ if (COND_RESULT_FALSE == con->cond_cache[dc->prev->key])  if (con->conf.log_condition_handling)  TRACE("cond[%d] is valid: %d", dc->comp, con->conditional_is_valid[dc->comp]);   else  /* invalid or disabled
/* handle request for the dummy link's node */ if (dc->dummy_link_state == D_COND_COND_NEEDGIANT)  /* must have at least 'COND' */ con->conf.conf.log_cond_cached(srv, con, dc->dummy_link_state);
if (con->conf.log_cond_freecache)  log_error_write(srv, __FILE__, __LINE__, "sb", "go prev", dc->parent->key);
/* XXX: Don't try to call config_check_cond_nocache_cache() on any device */
if (con->conf.stats_check)  if (con->conf.stats_check)  /* pass the rules */ switch (dc->comp)  case COND_RESULT_FALSE:  if (dc->dc->flags & COND_RESULT_FALSE)  return COND_RESULT_FALSE;
/* * try to resolve the first '%s' to the client */ if (con->conf.context_ndx && con->conf.context_ndx->parent)  if (con->conf.context_ndx->parent)  log_error_write(srv, __FILE__, __LINE__, "sb", "go parent", dc->parent->key);  if (config_check_cond_cached(srv, con, dc->parent) == COND_RESULT_FALSE)  return COND_RESULT_FALSE;  if (dc->prev)  if (con->conf.log_condition_handling)  TRACE("cond[%d] is valid: %d", dc->comp, con->conditional_is_valid[dc->comp]);  return COND_RESULT_FALSE;   if (con->conf.log_condition
/* * Don't make sure our db and db. */ if (con->conf.log_type == COND_RESULT_FALSE)  /* no error for cond config.n*/ return COND_RESULT_FALSE;
/* XXX */ if (dc->initialize)  if (con->conf.log_cond_cache_handling)  /* not implemented */ config_check_cond_cached(srv, con, dc->parent->key);  if (dc->prev)  if (con->conf.log_condition_handling)  /* one of prev set me to FALSE */ config_check_cond_cached(srv, con, dc->prev); /* one of prev set me to FALSE */ if (COND_RESULT_FALSE == con->cond_cache[dc->prev].result)  if (COND_RESULT_FALSE == con->cond_cache[dc->comp])  if (con->conf.log_condition_handling)  TRACE("cond[%d] is valid: %
/* freeing dc->comp.dc_host_key */ if (dc->cond_host_key == 0)  config_check_cond_nocache_check(srv, con, dc->dc_host_key);
/* * check if this is set */
if (!con->conf.log_condition_handling)  if (con->conf.log_condition_handling)  TRACE("cond[%d] is valid: %d", dc->comp, con->conditional_is_valid[dc->comp]);  return COND_RESULT_FALSE;
if (con->conf.log_condition_handling &&!con->conf.log_condition_handling)  if (con->conf.log_condition_handling)  TRACE("cond[%d] is valid: %d", dc->comp, con->conditional_is_valid[dc->comp]);  return COND_RESULT_FALSE;  /* one of prev set me to FALSE */ if (COND_RESULT_FALSE == con->cond_cache[dc->context_ndx].result)  if (COND_RESULT_FALSE == con->cond_cache[dc->context_ndx].result)  config_check_cond_cached(srv, con, dc->context_ndx);  if (!con->conditional_is_valid[dc->comp])  if (con->conf.log_condition_
if (dc->dc_conf)  return COND_RESULT_FALSE;
case COMP_COND_DEBUG:
/* use a proxy */ if (dc->parent)  config_check_cond_nocache(srv, con, dc->parent->key);  if (config_check_cond_cached(srv, con, dc->parent) == COND_RESULT_FALSE)  return COND_RESULT_FALSE;
case COND_RESULT_DEAD_UNSET: /* pass the rules */ switch (dc->dd_dialog)  case COND_RESULT_DEAD_SLOT: if (config_check_cond_cached(srv, con, dc->dd_flags) == COND_RESULT_FALSE)  if (config_check_cond_cached(srv, con, dc->dd_flags) == COND_RESULT_FALSE)  return COND_RESULT_FALSE;  if (dc->dd_flags)  config_check_cond_cached(srv, con, dc->dd_flags);  if (dc->dd_flags)  if (dc->dd_flags)  config_check_cond_cached(srv, con, dc->dd_f
/* let the parent set it back */ config_check_cond_cached(srv, con, dc->parent->key, con->conf.conf.comp_key); /* check this */ if (!dc->result_flags)  if (dc->result_flags)  TRACE("cond[%d] is valid: %d", dc->comp, con->conditional_is_valid[dc->comp]);  return COND_RESULT_FALSE;
/* config_check_cond_nocache_failed*/ if (dc->parent->context_ndx)  config_check_cond_cached(srv, con, dc->parent->key);
if (con->conf.log_condition_handling)  if (config_check_cond_cached(srv, con, dc->parent) == COND_RESULT_FALSE)  return COND_RESULT_FALSE;
if (dc->parent->key == COND_RESULT_FALSE)  if (con->conf.log_condition_handling)  if (con->conf.log_condition_handling)  TRACE("cond[%d] is valid: %d", dc->comp, con->conditional_is_valid[dc->comp]);  return COND_RESULT_FALSE;
/* if (dc->conf.cond_cache[dc->context_ndx].cache_syspath)  TRACE("cond[%d] is valid: %d", dc->comp, con->conditional_is_valid[dc->comp]);
case COND_RESULT_DEBUG: /* don't know if this is a cond */ break;
if (!con->cond_cache[dc->context_ndx].flags & COND_RESULT_FALSE)  if (con->conf.log_condition_handling)  TRACE("cond[%d] is valid: %d", dc->comp, con->conditional_is_valid[dc->comp]);  return COND_RESULT_FALSE;
if (!dc->parent->prev)  if (con->conf.log_condition_handling)  TRACE("cond[%d] is valid: %d", dc->comp, con->conditional_is_valid[dc->comp]);  return COND_RESULT_FALSE;
case SYS_LOG_EXIT_SUPPORTS: case SYS_LOG_TEST: case SYS_LOG_TEST: /* set log error */ break;
case COND_RESULT_READY:
if (dc->inv_parent)  log_error_write(srv, __FILE__, __LINE__, "sb", "go parent", dc->parent->key);
if (dc->context_ndx)  log_error_write(srv, __FILE__, __LINE__, "sb", "go parent", dc->parent->key);  if (config_check_cond_cached(srv, con, dc->parent) == COND_RESULT_FALSE)  return COND_RESULT_FALSE;  if (dc->prev)  if (con->conf.log_condition_handling)  TRACE("cond[%d] is valid: %d", dc->comp, con->conditional_is_valid[dc->comp]);  return COND_RESULT_FALSE;  if (dc->parent)  config_check_cond_cached(srv, con, dc->parent);
/* XXX - Don't need to stdout because dc->comp' can't really work */ if (dc->conf.conf.log_cond_cond_cached(srv, con, dc->parent->key) == COND_RESULT_FALSE)  return COND_RESULT_FALSE;
case COMP_RESULT_FALSE: case COMP_RESULT_NONE: case COMP_RESULT_NONE: case COMP_RESULT_NONE: case COMP_RESULT_NOT_CONTENT: case COMP_RESULT_NONE: case COMP_RESULT_CONTENT: case COMP_RESULT_CONTENT: case COMP_RESULT_CONTENT: case COMP_RESULT_CONTENT: case COMP_RESULT_NONE: case COMP_RESULT_NONE: case COMP_RESULT_CONTENT: case COMP_RESULT_NONE: case COMP_RESULT_CONTENT: case COMP_RESULT_CONTENT: case COMP_RESULT_CONTENT: case COMP_RESULT_CONTENT: case COMP_RESULT_CONTENT: case COMP_RESULT_CONTENT: case COMP_RESULT_CONTENT: case COMP_RESULT_CONTENT: case COMP_RESULT_CONTENT: case COMP_RESULT
if (!dc->conf.cond_cache[dc->context_ndx].result)  if (con->conf.log_condition_handling)  TRACE("cond[%d] is valid: %d", dc->comp, con->conditional_is_valid[dc->comp]);  return COND_RESULT_FALSE;
/* * To create a cond config check of cdas a caller, we are using a connection. This means that a * condas a dc should get a condas. */ con->conf.config_cond_cached(srv, con, dc->parent->key);
case COND_RESULT_DEC: case COND_RESULT_FALSE: /* pass the rule */ break; case COND_RESULT_NONE: /* pass the rule */ break; case COND_RESULT_TEST: /* pass the rule */ break;
/* wait for cond_result_sync */ if (con->conf.log_condition_handling)  log_error_write(srv, __FILE__, __LINE__, "sb", "go parent", dc->parent->key);
case COMP_UNSET: /* pass the rules */ if (dc->prev)  if (dc->prev)  if (con->conf.log_condition_handling)  TRACE("cond[%d] is valid: %d", dc->comp, con->conditional_is_valid[dc->comp]);  return COND_RESULT_FALSE;
if (dc->dc_flags & DD_NO_CREAT)  /* all the prev keys in the prev will have to be checked */ if (!con->cond_cache[dc->dc_flags].result)  if (con->conf.log_condition_handling)  TRACE("cond[%d] is valid: %d", dc->comp, con->conditional_is_valid[dc->comp]);  return COND_RESULT_FALSE;  if (con->conf.log_condition_handling)  TRACE("cond[%d] is valid: %d", dc->comp, con->conditional_is_valid[dc->comp]);  return COND_RESULT_FALSE;  if (con->conf.log_condition_handling)  TRACE("cond[%d] is valid: %d", dc->comp, con->conditional
/* XXX should not do this, just try to check the dummy buffer. */ if (con->conf.log_condition_handling)  splx(s); return COND_RESULT_FALSE;
if (con->conf.log_state & COND_RESULT_TRUE)  log_error_write(srv, __FILE__, __LINE__, "sb", "go parent", dc->parent->key);
if (config_check_cond_cached(srv, con, dc->parent) == COND_RESULT_FALSE)  log_error_write(srv, __FILE__, __LINE__, "sb", "go parent", dc->parent->key);
/* no prev */
case COND_RESULT_FALSE: if (dc->context_ndx)  log_error_write(srv, __FILE__, __LINE__, "sb", "go parent", dc->parent->key);  if (config_check_cond_cached(srv, con, dc->parent) == COND_RESULT_FALSE)  return COND_RESULT_FALSE;  if (dc->prev)  if (con->conf.log_condition_handling)  TRACE("cond[%d] is valid: %d", dc->comp, con->conditional_is_valid[dc->comp]);  return COND_RESULT_FALSE;  if (dc->prev)  if (con->conf.log_condition_handling)  TRACE("cond[%d] is valid: %d", dc->comp, con
/* XXX Check the client before returning a parent. */ if (!con->cond_cache[dc->context_ndx].result)  if (con->conf.log_condition_handling)  TRACE("cond[%d] is valid: %d", dc->comp, con->conditional_is_valid[dc->comp]);  return COND_RESULT_FALSE;
case _DEBUG: /* * Not sure how to get error code */ if (config_check_cond_nocache(srv, con, dc->parent->key) == COND_RESULT_FALSE)  log_error_write(srv, __FILE__, __LINE__, "sb", "go parent", dc->parent->key);
/* XXX we need to run it - skip it and */ /* XXX - "start ncache.cache.cache.cache.cache.cache.cache.cache.cache.cache.cache.cache.cache.cache.cache.cache.cache.cache.cache.cache.cache.cache.cache.cache.cache.cache.cache.cache.cache.cache.cache.cache.cache.cache.cache.cache.cache.cache.cache.cache.cache.cache.cache.cache.cache.cache.cache.cache.cache.cache.cache.cache.cache.cache.cache.cache.cache.cache.cache.cache.cache.cache.cache.cache.cache.cache.cache.cache.cache.cache.cache.cache.cache.cache.c
/* if we were just done a cond_disconnection we're going to do with cond_disconnection */ con->disconnection = con->disconnection;
case COMP_COND_REFERENCE:
if (con->conf.cond_cond_cached(srv, con, dc->context_ndx) == COND_RESULT_FALSE)  return COND_RESULT_FALSE;
if (dc->flags & D_ERROR)  if (dc->cache_reflags)  if (dc->cache_reflags)  if (!con->conditional_is_valid[dc->comp])  if (con->conf.log_condition_handling)  TRACE("cond[%d] is valid: %d", dc->comp, con->conditional_is_valid[dc->comp]);  return COND_RESULT_FALSE;   if (con->conf.log_condition_handling)  TRACE("cond[%d] is valid: %d", dc->comp, con->conditional_is_valid[dc->comp]);
if (dc->parent)  log_error_write(srv, __FILE__, __LINE__, "sb", "go parent", dc->parent->key);  if (config_check_cond_cached(srv, con, dc->parent) == COND_RESULT_FALSE)  return COND_RESULT_FALSE;
if (con->conf.log_cond_no_result)  config_check_cond_no_result_no_result(srv, con, con->cond_cache[dc->context_ndx].result));
/* pass the rules */ switch (dc->comp)  case COMP_COND_UNSET: case COMP_COND_NO_SESSION: case COMP_COND_NO_SESSION: case COMP_COND_NO_SESSION: case COMP_COND_NO_SESSION: case COMP_COND_NO_SESSION: case COMP_COND_NO_SESSION: case COMP_COND_NO_SESSION: case COMP_COND_NO_SESSION: case COMP_COND_NO_SESSION: case COMP_COND_NO_SESSION: case COMP_COND_NO_SESSION: case COMP_COND_NO_SESSION: case COMP_COND_NO_SESSION: case COMP_COND_NO_SESSION: case COMP_COND_NO_SESSION: case COMP_COND_NO_SESSION: case COMP_COND_NO_SESSION: case COMP_COND_NO_SESSION: case COMP_COND_NO_SESSION: case
if (dc->conf.signal_dup(srv, NULL) == 0)  log_error_write(srv, __FILE__, __LINE__, "sb", "go parent", dc->parent->key);
case COND_FORELOCK_HOST: case COND_FORELOCK_HOST:
if (con->conf.cond_cond_check_cond_free(dc->dc_socket, dc->dc_socket))  return COND_RESULT_FALSE;
if (con->conf.conf.log_cond_cache)  config_check_cond_cached(srv, con, dc->parent); return COND_RESULT_FALSE;
#ifdef INCLUDE_DEBUG printf("cond_conf.cond_cache = %sn", con->conf.cond_cache->key); #endif
case COND_FIXED_PROPERTY_BY_ADDR: /* Cond */ case COND_FIXED_PROPERTY_BY_ADDR: /* Cond */ case COND_FIXED_PROPERTY_BY_ADDR: /* Cond */ case COND_FIXED_PROPERTY_BY_ADDR: /* Cond */
case COMP_COND_COND_UNSET: /* pass the rules */ break;
case COMP_COND_CANNOTATION: case COMP_COND_UNSET: case COMP_COND_UNSET: case COMP_COND_CANNOTATION: case COMP_COND_CANNOTATION: case COMP_COND_CANNOTATION: case COMP_COND_CANNOTATION: case COMP_COND_CANNOTATION: case COMP_COND_CANNOTATION: case COMP_COND_CANNOTATION: case COMP_COND_CANNOTATION: case COMP_COND_CANNOTATION: case COMP_COND_CANNOTATION: case COMP_COND_CANNOTATION: case COMP_COND_CANNOTATION: case COMP_COND_CANNOTATION: case COMP_COND_CANNOTATION: case COMP_COND_CANNOTATION: case COMP_COND_CANNOTATION: case COMP_COND_CANNOTATION: case COMP_COND_CANNOTATION: case COMP_COND_CANNOTATION: case COMP_COND_CANNOTATION: case COMP_COND_
if (dc->parent)  if (con->conf.log_condition_handling)  log_error_write(srv, __FILE__, __LINE__, "sb", "go parent", dc->parent->key);   if (dc->prev)  if (con->conf.log_condition_handling)  log_error_write(srv, __FILE__, __LINE__, "sb", "go prev", dc->prev->key);  /* make sure prev is checked first */ if (COND_RESULT_FALSE == con->cond_cache[dc->context_ndx].result)  return COND_RESULT_FALSE;  if (!con->conditional_is_valid[dc->comp])  if (con->conf.log_condition_handling)  TRACE("cond[%d]
/* we have to deallocate the first child of the cond. */ if (con->conf.log_cond_cached(srv, con, dc->parent->key) == COND_RESULT_FALSE)  log_error_write(srv, __FILE__, __LINE__, "sb", "go prev", dc->parent->key);
if (!dc->prev)  if (con->conf.log_condition_handling)  TRACE("cond[%d] is valid: %d", dc->comp, con->conditional_is_valid[dc->comp]);
if (dc->d_conf.io_flags & (COND_RESULT_FALSE | COND_RESULT_FALSE))  return COND_RESULT_FALSE;
/* try to handle the device ->->parent->parent->key. */ if (con->conf.log_condition_handling)  log_error_write(srv, __FILE__, __LINE__, "sb", "go parent", dc->parent->key);  if (config_check_cond_cached(srv, con, dc->parent) == COND_RESULT_FALSE)  return COND_RESULT_FALSE;
/* FIXME: Can't set this check if it does so that it is safe to just revert. */ if (con->conf.log_condition_handling && con->conf.log_condition_handling && con->conf.log_condition_handling == COND_RESULT_FALSE)  /* reset this checker in the log */ if (dc->comp)  if (con->conf.log_condition_handling)  TRACE("cond[%d] is valid: %d", dc->comp, con->conditional_is_valid[dc->comp]);  return COND_RESULT_FALSE;
/* for all node-get_defaults for */ if (con->conf.log_cond_cache[dc->conf.dc_slot].result)  /* if it is a cond_result_deadlock, check the hostname of this * server's packets. */ if (con->conf.conf.log_cond_cond_flags & ND_ERROR)  dc->parent->key = 0;
/* if this is a temporary dummy cond. */ if (config_check_cond_cached(srv, con, con->dummy) == COND_RESULT_FALSE)  log_error_write(srv, __FILE__, __LINE__, "sb", "go parent", dc->parent->key);
/* make sure prev is checked first */ if (COND_RESULT_FALSE == con->cond_cache[dc->comp].result)  config_check_cond_cached(srv, con, dc->prev); /* one of prev set me to FALSE */ if (COND_RESULT_FALSE == con->cond_cache[dc->prev->key])  config_check_cond_cached(srv, con, dc->prev); /* one of prev set me to FALSE */ if (COND_RESULT_FALSE == con->cond_cache[dc->prev->key])  if (COND_RESULT_FALSE == con->cond_cache[dc->prev->key])  config_check_cond_cached(srv, con, con->prev);  /* one
/* pass the rules */ switch (dc->comp)  case COMP_DTOR:
if (dc->dc_parent)  if (config_check_cond_cached(srv, con, dc->dc_parent->key) == COND_RESULT_FALSE)  return COND_RESULT_FALSE;
if (!con->conditional_is_valid[dc->comp])  if (con->conf.log_condition_handling)  TRACE("cond[%d] is valid: %d", dc->comp, con->conditional_is_valid[dc->comp]);  return COND_RESULT_FALSE;
case COMP_UNSET: if (con->conf.log_condition_handling)  TRACE("cond[%d] is valid: %d", dc->comp, con->conditional_is_valid[dc->comp]);  return COND_RESULT_FALSE;  /* break the rule */ if (!con->conditional_is_valid[dc->comp])  if (con->conf.log_condition_handling)  TRACE("cond[%d] is valid: %d", dc->comp, con->conditional_is_valid[dc->comp]);  return COND_RESULT_UNSET;  if (dc->context_ndx)  if (con->conf.log_condition_handling)  TRACE("cond[%d] is valid: %d", dc->comp, con->conditional_is_valid[dc->comp]);  return COND_RESULT_UNSET;
/* create a resource pointer */ if (con->conf.conf.conf.conf.conf_cond_cancelled)  log_error_write(srv, __FILE__, __LINE__, "sb", "go parent", dc->parent->key);
/* * XXX check if the data packet is not NULL. */ if (con->conf.log_condition_handling)  if (config_check_cond_cached(srv, con, dc->parent) == COND_RESULT_FALSE)  return COND_RESULT_FALSE;
/* fprintf(srv, "cond_result:%d: %sn", __FILE__, __LINE__, dc->parent->key, con->conf.get());
if (con->conf.verbose)  printf("%s: %sn", con->cond_cache[dc->context_ndx].result, con->cond_cache[dc->context_ndx].result);
